,layer,method,number,accuracy,maxdepth
112,model.edge_s2s,SAE,188,0.743455497382199,1
113,model.output_proj.layers.2,SAE,1,0.8125,1
114,model.edge_s2s,SAE,23,0.71875,1
115,model.state_encoder.layers.1,SOM,12,0.9438202247191011,1
116,model.blocks.1.activation,SAE,18,0.8730964467005076,1
117,model.edge_s2s,SAE,46,0.8393782383419689,1
118,model.edge_s2s,SAE,95,0.8350515463917526,1
119,model.output_proj.layers.2,baseline,4,0.8958333333333334,1
120,model.output_proj.layers.2,SAE,46,0.8647058823529412,1
121,model.blocks.2.activation,SOM,20,0.9708029197080292,1
122,model.node_s2s,SAE,100,0.8939393939393939,1
123,model.output_proj.layers.2,SOM,2,0.9673202614379085,1
124,model.blocks.1.activation,SOM,13,0.9401197604790419,1
125,model.node_s2s,SAE,139,0.7891891891891892,1
126,model.blocks.2.activation,SAE,4,0.9230769230769231,1
127,model.blocks.0.activation,SOM,11,0.9281437125748503,1
128,model.state_encoder.layers.1,SAE,15,0.7538461538461538,1
129,model.node_s2s,baseline,10,0.8350515463917526,1
130,model.blocks.2.activation,SOM,0,0.9222222222222223,1
131,model.blocks.0.activation,baseline,1,0.7929292929292929,1
132,model.blocks.2.activation,SAE,45,0.7783505154639175,1
133,model.output_proj.layers.2,SAE,27,0.9246231155778895,1
134,model.output_proj.layers.2,SAE,24,0.764102564102564,1
135,model.blocks.0.activation,SAE,38,0.6864864864864865,1
136,model.node_s2s,SAE,63,0.8465608465608465,1
137,model.node_s2s,SAE,42,0.837696335078534,1
138,model.node_s2s,SAE,85,0.8638743455497382,1
139,model.blocks.0.activation,SAE,37,0.9030612244897959,1
140,model.node_s2s,SAE,60,0.8219895287958116,1
141,model.blocks.0.activation,SAE,21,0.8195876288659794,1
142,model.node_s2s,SOM,3,1.0,1
143,model.blocks.2.activation,SAE,9,0.78125,1
144,model.blocks.0.activation,SOM,16,0.9444444444444444,1
145,model.output_proj.layers.2,SOM,8,0.965034965034965,1
146,model.edge_s2s,SAE,103,0.6994818652849741,1
147,model.edge_s2s,SOM,20,0.93717277486911,1
148,model.blocks.1.activation,SAE,23,0.8826530612244898,1
149,model.output_proj.layers.2,SAE,35,0.7878787878787878,1
150,model.blocks.1.activation,SOM,11,0.9013157894736842,1
151,model.node_s2s,SAE,70,0.8256410256410256,1
152,model.blocks.2.activation,SAE,15,0.8622448979591837,1
153,model.blocks.1.activation,SAE,1,0.7731958762886598,1
154,model.blocks.0.activation,SOM,4,0.8512820512820513,1
155,model.edge_s2s,SOM,11,0.9341317365269461,1
156,model.edge_s2s,SAE,14,0.7864583333333334,1
157,model.edge_s2s,baseline,7,0.8850574712643678,1
158,model.edge_s2s,SAE,157,0.703125,1
159,model.edge_s2s,SOM,19,0.844559585492228,1
160,model.node_s2s,SAE,99,0.8693467336683417,1
161,model.blocks.0.activation,SAE,29,0.8974358974358975,1
162,model.output_proj.layers.2,SAE,20,0.7616580310880829,1
163,model.state_encoder.layers.1,SAE,34,0.917098445595855,1
164,model.output_proj.layers.2,SAE,0,0.8585858585858586,1
165,model.state_encoder.layers.1,SOM,15,0.9079754601226994,1
166,model.blocks.0.activation,SOM,19,0.9430051813471503,1
167,model.edge_s2s,SOM,8,0.9289940828402367,1
168,model.edge_s2s,baseline,14,0.645,1
169,model.edge_s2s,baseline,13,0.7291666666666666,1
170,model.edge_s2s,baseline,11,0.7927461139896373,1
171,model.state_encoder.layers.1,SAE,26,0.8743455497382199,1
172,model.edge_s2s,SAE,33,0.8473684210526315,1
173,model.node_s2s,SAE,54,0.8526315789473684,1
174,model.blocks.2.activation,baseline,11,0.8102564102564103,1
175,model.node_s2s,SAE,46,0.8333333333333334,1
176,model.edge_s2s,baseline,56,0.6767676767676768,1
177,model.state_encoder.layers.1,SAE,19,0.7277486910994765,1
178,model.blocks.0.activation,baseline,8,0.7384615384615385,1
179,model.node_s2s,SAE,9,0.89,1
180,model.blocks.0.activation,SAE,15,0.7411167512690355,1
181,model.edge_s2s,baseline,58,0.883248730964467,1
182,model.node_s2s,SOM,19,1.0,1
183,model.edge_s2s,SAE,141,0.8526315789473684,1
184,model.node_s2s,baseline,56,0.8205128205128205,1
185,model.blocks.1.activation,SAE,12,0.7244897959183674,1
186,model.edge_s2s,SAE,172,0.8229166666666666,1
187,model.node_s2s,SAE,167,0.8461538461538461,1
188,model.edge_s2s,SAE,161,0.7346938775510204,1
189,model.state_encoder.layers.1,SOM,13,0.9325153374233128,1
190,model.node_s2s,SAE,26,0.8541666666666666,1
191,model.state_encoder.layers.1,SAE,38,0.8666666666666667,1
192,model.node_s2s,baseline,39,0.67,1
193,model.node_s2s,SAE,29,0.7595628415300546,1
194,model.node_s2s,SAE,123,0.8256410256410256,1
195,model.edge_s2s,SAE,100,0.8556701030927835,1
196,model.edge_s2s,SAE,82,0.765625,1
197,model.node_s2s,baseline,24,0.75,1
198,model.blocks.1.activation,SOM,8,0.9263803680981595,1
199,model.node_s2s,SAE,6,0.8375634517766497,1
200,model.edge_s2s,baseline,9,0.6822916666666666,1
201,model.node_s2s,SAE,155,0.824468085106383,1
202,model.output_proj.layers.2,baseline,0,0.9576719576719577,1
203,model.blocks.0.activation,SOM,7,0.9150326797385621,1
204,model.blocks.2.activation,SOM,4,0.8730964467005076,1
205,model.node_s2s,SAE,23,0.8534031413612565,1
206,model.blocks.1.activation,SAE,25,0.8,1
207,model.node_s2s,SAE,148,0.8526315789473684,1
208,model.blocks.2.activation,SOM,17,0.9329268292682927,1
209,model.node_s2s,SAE,41,0.8368421052631579,1
210,model.edge_s2s,SOM,14,0.9298245614035088,1
211,model.edge_s2s,SAE,190,0.7801047120418848,1
212,model.edge_s2s,SAE,40,0.8186528497409327,1
213,model.edge_s2s,SAE,31,0.6256410256410256,1
214,model.node_s2s,SAE,154,0.8385416666666666,1
215,model.blocks.1.activation,baseline,4,0.8958333333333334,1
216,model.edge_s2s,SAE,163,0.6613756613756614,1
217,model.blocks.1.activation,SAE,22,0.9435897435897436,1
218,model.blocks.1.activation,SAE,37,0.7193877551020408,1
219,model.blocks.0.activation,SOM,3,0.8554216867469879,1
220,model.blocks.0.activation,baseline,3,0.9191919191919192,1
221,model.output_proj.layers.2,SAE,26,0.7422680412371134,1
222,model.blocks.2.activation,baseline,14,0.676923076923077,1
223,model.node_s2s,baseline,2,0.6934673366834171,1
