,layer,epoch,count,change,distance
59,bert.transformer.layer.2.ffn,2,128,3.659221329144202e-05,0.05260881036520004
60,bert.transformer.layer.2.ffn,2,128,3.757177182706073e-05,0.05390240252017975
61,bert.transformer.layer.2.ffn,2,128,4.1649927879916504e-05,0.05541315674781799
62,bert.transformer.layer.2.ffn,2,128,3.6390265449881554e-05,0.05319672450423241
63,bert.transformer.layer.2.ffn,2,128,3.6862027627648786e-05,0.05409964174032211
64,bert.transformer.layer.2.ffn,2,128,3.8897269405424595e-05,0.05244971811771393
65,bert.transformer.layer.2.ffn,2,128,3.740434112842195e-05,0.05276104807853699
66,bert.transformer.layer.2.ffn,2,128,3.886361082550138e-05,0.05641328915953636
67,bert.transformer.layer.2.ffn,2,128,3.6681722122011706e-05,0.053676195442676544
68,bert.transformer.layer.2.ffn,2,128,4.098625868209638e-05,0.05662927031517029
69,bert.transformer.layer.2.ffn,2,128,3.67793909390457e-05,0.056475430727005005
70,bert.transformer.layer.2.ffn,2,128,3.801729326369241e-05,0.05503667891025543
71,bert.transformer.layer.2.ffn,2,128,3.810515772784129e-05,0.052575044333934784
72,bert.transformer.layer.2.ffn,2,128,3.6140794691164047e-05,0.056831322610378265
73,bert.transformer.layer.2.ffn,2,128,3.783366264542565e-05,0.05523207038640976
74,bert.transformer.layer.2.ffn,2,128,3.763382483157329e-05,0.05598466843366623
75,bert.transformer.layer.2.ffn,2,128,4.0329814510187134e-05,0.05257222801446915
76,bert.transformer.layer.2.ffn,3,128,3.9757152990205213e-05,0.05430193990468979
77,bert.transformer.layer.2.ffn,3,128,4.147369327256456e-05,0.05157963186502457
78,bert.transformer.layer.2.ffn,3,128,3.722052861121483e-05,0.05408301204442978
79,bert.transformer.layer.2.ffn,3,128,4.329714647610672e-05,0.05518268793821335
80,bert.transformer.layer.2.ffn,3,128,3.695905616041273e-05,0.055204279720783234
81,bert.transformer.layer.2.ffn,3,128,3.6270266718929633e-05,0.050732165575027466
82,bert.transformer.layer.2.ffn,3,128,3.955440843128599e-05,0.053205326199531555
83,bert.transformer.layer.2.ffn,3,128,3.882412420352921e-05,0.0522937998175621
84,bert.transformer.layer.2.ffn,3,128,3.7391735531855375e-05,0.053576819598674774
85,bert.transformer.layer.2.ffn,3,128,3.731561446329579e-05,0.0528702512383461
86,bert.transformer.layer.2.ffn,3,128,3.951456892536953e-05,0.056462280452251434
87,bert.transformer.layer.2.ffn,3,128,3.982042471761815e-05,0.053314078599214554
88,bert.transformer.layer.2.ffn,3,128,3.5073739127255976e-05,0.05444203317165375
89,bert.transformer.layer.2.ffn,3,128,3.901687523466535e-05,0.05174627900123596
90,bert.transformer.layer.2.ffn,3,128,3.8602807762799785e-05,0.05252084136009216
91,bert.transformer.layer.2.ffn,3,128,4.237830580677837e-05,0.050034940242767334
92,bert.transformer.layer.2.ffn,3,128,3.77072392439004e-05,0.05428013950586319
93,bert.transformer.layer.2.ffn,3,128,3.920389281120151e-05,0.055005550384521484
94,bert.transformer.layer.2.ffn,3,128,3.75930467271246e-05,0.05493870750069618
95,bert.transformer.layer.2.ffn,3,128,4.1049755964195356e-05,0.05285092815756798
96,bert.transformer.layer.2.ffn,3,128,3.9580834709340706e-05,0.055582195520401
97,bert.transformer.layer.2.ffn,3,128,4.060769424540922e-05,0.053566236048936844
98,bert.transformer.layer.2.ffn,3,128,3.890206789947115e-05,0.05646084249019623
99,bert.transformer.layer.2.ffn,3,128,3.922337054973468e-05,0.053279563784599304
100,bert.transformer.layer.2.ffn,3,128,3.8849961129017174e-05,0.05373324826359749
101,bert.transformer.layer.2.ffn,3,128,3.9416529034497216e-05,0.05638307332992554
102,bert.transformer.layer.2.ffn,3,128,3.8566930015804246e-05,0.05315842851996422
103,bert.transformer.layer.2.ffn,3,128,4.3362120777601376e-05,0.05808547884225845
104,bert.transformer.layer.2.ffn,3,128,3.902631578966975e-05,0.05580977350473404
105,bert.transformer.layer.2.ffn,3,128,3.478053986327723e-05,0.05426773428916931
106,bert.transformer.layer.2.ffn,3,128,3.790906703216024e-05,0.05251308158040047
107,bert.transformer.layer.2.ffn,3,128,3.800213016802445e-05,0.05224408954381943
108,bert.transformer.layer.2.ffn,3,128,4.38693277828861e-05,0.05447863042354584
109,bert.transformer.layer.2.ffn,3,128,4.155611532041803e-05,0.0532778799533844
110,bert.transformer.layer.2.ffn,3,128,3.754522549570538e-05,0.05644820258021355
111,bert.transformer.layer.2.ffn,3,128,3.985859075328335e-05,0.05298992991447449
112,bert.transformer.layer.2.ffn,3,128,4.453781366464682e-05,0.05717311054468155
113,bert.transformer.layer.2.ffn,3,128,3.800664489972405e-05,0.053423576056957245
114,bert.transformer.layer.2.ffn,4,128,4.062349762534723e-05,0.05557219684123993
115,bert.transformer.layer.2.ffn,4,128,3.994226426584646e-05,0.05399220064282417
116,bert.transformer.layer.2.ffn,4,128,3.906685014953837e-05,0.0538782998919487
117,bert.transformer.layer.2.ffn,4,128,3.912001920980401e-05,0.052212607115507126
118,bert.transformer.layer.2.ffn,4,128,4.0437364077661186e-05,0.05763649195432663
119,bert.transformer.layer.2.ffn,4,128,3.567318708519451e-05,0.050921112298965454
120,bert.transformer.layer.2.ffn,4,128,3.816751632257365e-05,0.05395333468914032
121,bert.transformer.layer.2.ffn,4,128,4.1883071389747784e-05,0.05191792920231819
122,bert.transformer.layer.2.ffn,4,128,4.131236346438527e-05,0.05256809666752815
123,bert.transformer.layer.2.ffn,4,128,3.94475573557429e-05,0.05285469442605972
124,bert.transformer.layer.2.ffn,4,128,4.0821767470333725e-05,0.05586877837777138
125,bert.transformer.layer.2.ffn,4,128,4.2636049329303205e-05,0.05542793869972229
126,bert.transformer.layer.2.ffn,4,128,4.1362469346495345e-05,0.05819268152117729
127,bert.transformer.layer.2.ffn,4,128,3.848997221211903e-05,0.052144408226013184
128,bert.transformer.layer.2.ffn,4,128,3.89821725548245e-05,0.05530422180891037
129,bert.transformer.layer.2.ffn,4,128,4.0934661228675395e-05,0.054419491440057755
130,bert.transformer.layer.2.ffn,4,128,3.9522004954051226e-05,0.0528283566236496
131,bert.transformer.layer.2.ffn,4,128,4.219680340611376e-05,0.056092772632837296
132,bert.transformer.layer.2.ffn,4,128,4.010784323327243e-05,0.05158776044845581
133,bert.transformer.layer.2.ffn,4,128,4.170336251263507e-05,0.049571625888347626
134,bert.transformer.layer.2.ffn,4,128,4.265843381290324e-05,0.05408225208520889
135,bert.transformer.layer.2.ffn,4,128,3.950754035031423e-05,0.055619001388549805
136,bert.transformer.layer.2.ffn,4,128,3.7681769754271954e-05,0.054109036922454834
137,bert.transformer.layer.2.ffn,4,128,4.037521284772083e-05,0.05223530903458595
138,bert.transformer.layer.2.ffn,4,128,4.043865919811651e-05,0.05375884473323822
139,bert.transformer.layer.2.ffn,4,128,3.844096136162989e-05,0.051352232694625854
140,bert.transformer.layer.2.ffn,4,128,3.928715887013823e-05,0.0540178157389164
141,bert.transformer.layer.2.ffn,4,128,4.098781937500462e-05,0.05628310516476631
142,bert.transformer.layer.2.ffn,4,128,3.977564847446047e-05,0.051167622208595276
143,bert.transformer.layer.2.ffn,4,128,3.8909965951461345e-05,0.05357659235596657
144,bert.transformer.layer.2.ffn,4,128,3.992621350334957e-05,0.05491366237401962
145,bert.transformer.layer.2.ffn,4,128,4.357648140285164e-05,0.05649775639176369
146,bert.transformer.layer.2.ffn,4,128,4.016810635221191e-05,0.05630069226026535
147,bert.transformer.layer.2.ffn,4,128,4.194741995888762e-05,0.05544578284025192
148,bert.transformer.layer.2.ffn,4,128,4.083323074155487e-05,0.053389064967632294
149,bert.transformer.layer.2.ffn,4,128,4.435623122844845e-05,0.05466378107666969
150,bert.transformer.layer.2.ffn,4,128,4.0373121009906754e-05,0.0516955628991127
151,bert.transformer.layer.2.ffn,4,128,3.940509486710653e-05,0.055291496217250824
152,bert.transformer.layer.2.ffn,5,128,4.045046807732433e-05,0.05289215222001076
153,bert.transformer.layer.2.ffn,5,128,3.879515497828834e-05,0.0549798384308815
154,bert.transformer.layer.2.ffn,5,128,3.8770602259319276e-05,0.05304528400301933
155,bert.transformer.layer.2.ffn,5,128,4.095039184903726e-05,0.05419516935944557
156,bert.transformer.layer.2.ffn,5,128,4.111491216463037e-05,0.05595995485782623
157,bert.transformer.layer.2.ffn,5,128,3.9913877117214724e-05,0.05550649017095566
158,bert.transformer.layer.2.ffn,5,128,4.054815508425236e-05,0.052730970084667206
159,bert.transformer.layer.2.ffn,5,128,4.332767639425583e-05,0.054528720676898956
160,bert.transformer.layer.2.ffn,5,128,4.2981599108316004e-05,0.05489654466509819
161,bert.transformer.layer.2.ffn,5,128,3.9210281101986766e-05,0.05473679304122925
162,bert.transformer.layer.2.ffn,5,128,3.9577058487338945e-05,0.05096232146024704
163,bert.transformer.layer.2.ffn,5,128,3.950715108658187e-05,0.05453624576330185
164,bert.transformer.layer.2.ffn,5,128,3.9880527765490115e-05,0.054401323199272156
165,bert.transformer.layer.2.ffn,5,128,4.2037980165332556e-05,0.05388444662094116
166,bert.transformer.layer.2.ffn,5,128,4.008631003671326e-05,0.05186993628740311
167,bert.transformer.layer.2.ffn,5,128,4.060396531713195e-05,0.0535142719745636
168,bert.transformer.layer.2.ffn,5,128,3.932939580408856e-05,0.05376141518354416
169,bert.transformer.layer.2.ffn,5,128,3.932395702577196e-05,0.053891196846961975
170,bert.transformer.layer.2.ffn,5,128,4.284869282855652e-05,0.055894479155540466
171,bert.transformer.layer.2.ffn,5,128,4.2780804506037384e-05,0.05489906668663025
172,bert.transformer.layer.2.ffn,5,128,3.7868965591769665e-05,0.05334516614675522
173,bert.transformer.layer.2.ffn,5,128,4.135658309678547e-05,0.0541534349322319
174,bert.transformer.layer.2.ffn,5,128,3.9241116610355675e-05,0.05241537094116211
175,bert.transformer.layer.2.ffn,5,128,4.1648600017651916e-05,0.05552531033754349
176,bert.transformer.layer.2.ffn,5,128,4.198341412120499e-05,0.0548245869576931
177,bert.transformer.layer.2.ffn,5,128,4.254800296621397e-05,0.05389950051903725
178,bert.transformer.layer.2.ffn,5,128,4.2289448174415156e-05,0.053114570677280426
179,bert.transformer.layer.2.ffn,5,128,3.9284823287744075e-05,0.05575760081410408
180,bert.transformer.layer.2.ffn,5,128,4.003740832558833e-05,0.05363960191607475
181,bert.transformer.layer.2.ffn,5,128,4.0763199649518356e-05,0.054088473320007324
182,bert.transformer.layer.2.ffn,5,128,3.9212347473949194e-05,0.05123811215162277
183,bert.transformer.layer.2.ffn,5,128,4.076908226124942e-05,0.05476934462785721
184,bert.transformer.layer.2.ffn,5,128,4.2531497456366196e-05,0.05220670625567436
185,bert.transformer.layer.2.ffn,5,128,4.048358459840529e-05,0.05729364603757858
186,bert.transformer.layer.2.ffn,5,128,3.877876588376239e-05,0.05340404435992241
187,bert.transformer.layer.2.ffn,5,128,3.7483263440662995e-05,0.053771600127220154
188,bert.transformer.layer.2.ffn,5,128,3.976479638367891e-05,0.05314232409000397
189,bert.transformer.layer.2.ffn,5,128,4.135736162425019e-05,0.05348588526248932
