band_gap,density,density_atomic,deprecated,efermi,energy_above_hull,energy_per_atom,formation_energy_per_atom,homogeneous_poisson,is_gap_direct,is_magnetic,is_metal,is_stable,nelements,nsites,num_magnetic_sites,num_unique_magnetic_sites,theoretical,total_magnetization,total_magnetization_normalized_formula_units,total_magnetization_normalized_vol,uncorrected_energy_per_atom,universal_anisotropy,volume,target
0.0,4.626233,34.00697,0.0,2.041524,1.848389,-19.81036,1.012616,0.36,0.0,0.0,1.0,0.0,3.0,5.0,0.0,0.0,0.0,0.0067213,0.0067213,3.952895e-05,-4.12775,20.421,170.0349,1
0.0,11.31551,10.57758,0.0,6.737261,1.45495,-7.643639,1.45495,0.0,0.0,0.0,1.0,0.0,2.0,3.0,0.0,0.0,1.0,0.0015562,0.0015562,4.904081e-05,-7.643639,0.0,31.73275,1
0.0,17.10818,9.814854,0.0,10.48801,1.479516,-8.7485,1.479516,0.504,0.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0006946,0.0006946,3.538514e-05,-8.7485,-9.756,19.62971,1
0.0,13.79043,14.57466,0.0,7.267634,0.0,-31.42073,-0.2043677,0.284,0.0,0.0,1.0,1.0,2.0,4.0,0.0,0.0,1.0,1.7e-06,1.7e-06,2.916021e-08,-31.42073,0.333,58.29863,1
0.0,5.650651,35.70463,0.0,2.147995,1.963342,-3.97935,1.451016,0.386,0.0,0.0,1.0,0.0,3.0,5.0,0.0,0.0,0.0,0.0151176,0.0151176,8.468145e-05,-3.97935,-46.654,178.5232,1
0.0,6.659835,10.55325,0.0,9.014648,1.271791,-5.654055,1.271791,0.249,0.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0004029,0.0004029,1.908891e-05,-5.654055,0.083,21.1065,1
0.0,7.899826,13.73871,0.0,10.06293,1.295525,-5.323593,1.295525,0.196,0.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0021784,0.0021784,7.927965e-05,-5.323593,0.159,27.47742,1
0.0466,2.185428,10.08953,0.0,5.364318,0.4789241,-7.096574,0.4536956,0.425,0.0,0.0,0.0,0.0,2.0,7.0,0.0,0.0,0.0,1e-07,1e-07,1.415895e-09,-6.044302,-20.698,70.62671,1
0.0,4.996838,32.70462,0.0,1.851895,1.970403,-20.01013,1.001796,0.357,0.0,0.0,1.0,0.0,3.0,5.0,0.0,0.0,1.0,0.0045684,0.0045684,2.793733e-05,-4.093708,23.119,163.5231,1
0.0,10.23184,11.65955,0.0,8.747875,0.0,-20.72793,-0.3487577,0.0,0.0,0.0,1.0,1.0,2.0,20.0,0.0,0.0,0.0,1e-07,5e-08,4.288331e-10,-20.72793,0.0,233.191,1
