band_gap,density,density_atomic,deprecated,efermi,energy_above_hull,energy_per_atom,formation_energy_per_atom,is_gap_direct,is_magnetic,is_metal,is_stable,nelements,nsites,num_magnetic_sites,num_unique_magnetic_sites,theoretical,total_magnetization,total_magnetization_normalized_formula_units,total_magnetization_normalized_vol,uncorrected_energy_per_atom,volume,target,cbm,vbm
4.1383,9.471348,12.30113,0.0,2.287913,0.03929805,-22.8999,-3.875663,0.0,0.0,0.0,0.0,2.0,36.0,0.0,0.0,1.0,0.0,0.0,0.0,-22.8999,442.8407,1,6.325,2.1867
2.197,6.024091,15.2208,0.0,-0.8056984,0.08175663,-17.88509,-3.177628,0.0,0.0,0.0,0.0,3.0,13.0,0.0,0.0,1.0,0.0002372,0.0002372,1.198765e-06,-8.305334,197.8704,1,1.379,-0.818
6.8951,4.902829,15.54223,0.0,-0.9585584,0.03644109,-6.870256,-4.300905,0.0,0.0,0.0,0.0,3.0,42.0,0.0,0.0,1.0,0.0002194,3.656667e-05,3.361042e-07,-6.540256,652.7738,1,5.7764,-1.1187
6.6784,4.292011,17.75413,0.0,-1.951267,0.09722065,-6.809477,-4.240125,0.0,0.0,0.0,0.0,3.0,56.0,0.0,0.0,1.0,0.0068413,0.0008551625,6.880994e-06,-6.479477,994.2314,1,4.5805,-2.0979
2.7466,5.592532,13.1061,0.0,4.878495,0.05036334,-9.215348,-3.730908,1.0,0.0,0.0,0.0,3.0,22.0,0.0,0.0,1.0,0.000951,0.0004755,3.298255e-06,-8.778167,288.3343,1,7.5951,4.8485
5.8972,9.139487,11.84412,0.0,0.9611944,0.0,-18.58883,-4.410912,1.0,0.0,0.0,1.0,3.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,-18.58883,473.7648,1,6.773,0.8758
6.5296,4.590999,16.5979,0.0,-1.404858,0.07302377,-6.833674,-4.264322,0.0,0.0,0.0,0.0,3.0,42.0,0.0,0.0,1.0,0.0002036,3.393333e-05,2.920623e-07,-6.503674,697.1116,1,5.0338,-1.4958
5.4589,6.224215,13.19947,0.0,0.7067075,0.1638652,-13.96861,-4.274884,1.0,0.0,0.0,0.0,2.0,24.0,0.0,0.0,1.0,7.3e-06,1.216667e-06,2.304385e-08,-6.530404,316.7873,1,6.1462,0.6873
7.5457,5.080177,11.92254,0.0,-0.5420974,0.0,-11.89196,-4.470814,0.0,0.0,0.0,1.0,2.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,-11.89196,190.7606,1,6.8325,-0.7132
0.0,5.056936,12.6811,0.0,-1.216421,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0,50.0,5.0,35.0,1.0,5.008559,1.001712,0.007899252,0.0,634.0549,1,0.0,0.0
4.816,6.472252,12.56521,0.0,4.414122,0.1720472,-14.11694,-4.338001,1.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,1.0,0.0008586,0.0008586,1.708289e-05,-6.641255,50.26082,1,9.0367,4.2207
0.0,9.643389,14.6513,0.0,4.134014,0.02858846,-31.09741,-4.100466,0.0,0.0,1.0,0.0,3.0,30.0,0.0,0.0,1.0,0.9934363,0.9934363,0.002260177,-31.09741,439.5391,1,0.0,0.0
3.4215,9.401686,13.17822,0.0,3.576112,0.03152458,-26.51209,-3.605936,1.0,0.0,0.0,0.0,3.0,52.0,0.0,0.0,0.0,0.0024891,0.000622275,3.632305e-06,-9.696087,685.2674,1,6.8946,3.4731
5.6188,8.403822,12.42403,0.0,0.9749346,0.0,-17.31467,-4.383081,1.0,0.0,0.0,1.0,3.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,-17.31467,496.9613,1,6.5747,0.9559
3.9025,9.412302,12.3783,0.0,2.319995,0.03698,-22.90222,-3.877981,1.0,0.0,0.0,0.0,2.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,-22.90222,74.2698,1,6.1408,2.2383
5.691,6.153643,13.53022,0.0,-1.744295,0.0,-6.883629,-3.865156,0.0,0.0,0.0,1.0,3.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,-14.56413,974.1755,1,3.9339,-1.7571
6.6616,5.246402,15.02102,0.0,-0.7008373,0.0,-6.806485,-4.319055,1.0,0.0,0.0,1.0,3.0,48.0,0.0,0.0,1.0,0.0,0.0,0.0,-13.49895,721.009,1,5.9608,-0.7008
0.0,5.141622,16.73473,0.0,-3.901145,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0,10.0,5.0,4.0,1.0,1.996702,1.996702,0.01193148,0.0,167.3473,1,0.0,0.0
