band_gap,density,density_atomic,deprecated,efermi,is_gap_direct,is_magnetic,is_metal,is_stable,nelements,nsites,num_magnetic_sites,num_unique_magnetic_sites,theoretical,total_magnetization,total_magnetization_normalized_formula_units,total_magnetization_normalized_vol,volume,cbm,vbm,target,energy_above_hull,energy_per_atom,formation_energy_per_atom,uncorrected_energy_per_atom
3.4606,11.72299,13.38853,0.0,1.201571,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.000266,0.000266,9.933874e-06,26.77707,4.4348,0.9742,1,0.0,0.0,0.0,0.0
6.2431,0.6835394,10.85754,0.0,-4.701009,0.0,0.0,0.0,1.0,3.0,64.0,0.0,0.0,1.0,0.0,0.0,0.0,694.8822,1.5237,-4.7194,1,0.0,-4.493065,-0.1035335,-4.493065
0.0,7.883036,20.22617,0.0,3.297563,0.0,1.0,1.0,0.0,2.0,4.0,2.0,1.0,1.0,0.9090384,0.4545192,0.01123592,80.90468,0.0,0.0,1,0.0,0.0,0.0,0.0
0.0,8.612506,12.05009,0.0,6.810493,0.0,0.0,1.0,0.0,3.0,8.0,0.0,0.0,1.0,0.0422014,0.0211007,0.0004377705,96.40074,0.0,0.0,1,0.0,0.0,0.0,0.0
4.1645,3.617317,12.66159,0.0,2.001137,0.0,0.0,0.0,0.0,2.0,40.0,0.0,0.0,1.0,0.0027676,0.00034595,5.464558e-06,506.4637,6.1052,1.9407,1,0.08177998,-11.91661,-3.780826,-8.976517
0.0,9.787586,14.81454,0.0,5.400831,0.0,0.0,1.0,0.0,3.0,8.0,0.0,0.0,1.0,0.0008962,0.0004481,7.561827e-06,118.5163,0.0,0.0,1,0.0,0.0,0.0,0.0
0.0,9.549169,15.03947,0.0,5.429817,0.0,0.0,1.0,0.0,3.0,8.0,0.0,0.0,1.0,0.0003971,0.00019855,3.300483e-06,120.3157,0.0,0.0,1,0.0,0.0,0.0,0.0
0.0,6.2223,17.51889,0.0,7.32389,0.0,1.0,1.0,1.0,2.0,40.0,16.0,2.0,0.0,16.0,2.0,0.02283249,700.7558,0.0,0.0,1,0.0,-19.6185,-3.705855,-19.6185
2.4556,2.332535,13.52503,0.0,-2.678282,1.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,54.1001,-2.6779,-5.1335,1,0.0006206725,-3.123034,0.0006206725,-3.123034
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0
5.7195,1.844487,10.19712,0.0,-4.17571,1.0,0.0,0.0,1.0,3.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,214.1395,1.4504,-4.2691,1,0.0,-6.388246,-0.2064069,-6.388246
0.0,8.494325,16.41742,0.0,4.754621,0.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,0.0,6.996877,6.996877,0.2130931,32.83484,0.0,0.0,1,0.0,-10.74146,-3.121271,-25.30888
