band_gap,density,density_atomic,deprecated,efermi,is_gap_direct,is_magnetic,is_metal,is_stable,nelements,nsites,num_magnetic_sites,num_unique_magnetic_sites,theoretical,total_magnetization,total_magnetization_normalized_formula_units,total_magnetization_normalized_vol,volume,cbm,vbm,target,energy_above_hull,energy_per_atom,formation_energy_per_atom,uncorrected_energy_per_atom
0.0,2.326334,13.08363,0.0,0.7343725,0.0,1.0,1.0,1.0,2.0,6.0,4.0,1.0,0.0,1.999999,0.9999997,0.02547713,78.50177,0.0,0.0,1,0.0,-6.042092,-0.8802644,-6.042092
0.0,6.516002,20.04518,0.0,0.8247403,0.0,1.0,1.0,0.0,3.0,5.0,3.0,1.0,1.0,1.985634,1.985634,0.01981159,100.2259,0.0,0.0,1,0.6477329,-21.65177,-1.558731,-5.757086
0.0,2.168134,14.03829,0.0,0.7127525,0.0,1.0,1.0,0.0,2.0,12.0,8.0,1.0,0.0,3.999999,0.9999998,0.02374458,168.4595,0.0,0.0,1,0.01981278,-6.022279,-0.8604516,-4.525567
0.0,2.398781,16.40549,0.0,0.367788,0.0,1.0,1.0,1.0,2.0,3.0,2.0,1.0,0.0,1.0,1.0,0.02031841,49.21646,0.0,0.0,1,0.0,-4.655957,-0.977325,-6.92483
0.1538,4.789437,17.19313,0.0,-0.7257951,0.0,1.0,0.0,0.0,2.0,8.0,6.0,1.0,0.0,6.001003,3.000501,0.04362938,137.545,-0.6814,-0.8352,1,0.4271937,-13.82551,-1.921787,-6.361417
0.0,3.122513,10.63392,0.0,-3.073158,0.0,1.0,1.0,0.0,2.0,4.0,3.0,2.0,1.0,2.0,2.0,0.04701935,42.53568,0.0,0.0,1,0.2367733,-4.477892,-1.244106,-4.477892
0.1564,5.35925,16.02858,0.0,-0.4592765,0.0,1.0,0.0,0.0,2.0,8.0,6.0,1.0,0.0,6.000049,3.000025,0.04679181,128.2286,-0.3499,-0.5063,1,0.443372,-14.2783,-2.001202,-6.400201
0.0,3.977995,18.29601,0.0,0.8583171,0.0,0.0,1.0,0.0,3.0,8.0,0.0,0.0,1.0,0.0020351,0.00101755,1.390399e-05,146.3681,0.0,0.0,1,0.229534,-3.910039,-0.2610387,-3.829539
0.0,2.977603,30.41788,0.0,-0.502253,0.0,1.0,1.0,0.0,4.0,82.0,12.0,1.0,0.0,11.59403,5.797015,0.004648272,2494.266,0.0,0.0,1,1.051495,-4.90476,-0.6228806,-4.90476
0.0,2.250871,15.2639,0.0,-1.357791,0.0,1.0,1.0,0.0,4.0,96.0,80.0,4.0,0.0,78.5105,19.62763,0.05357856,1465.334,0.0,0.0,1,0.9487343,-4.877399,-0.2087284,-4.304899
0.0,8.571467,10.50651,0.0,2.888006,0.0,1.0,1.0,0.0,2.0,4.0,3.0,2.0,1.0,3.000012,3.000012,0.07138462,42.02603,0.0,0.0,1,0.5641221,-15.20697,-1.956216,-6.308042
2.2063,9.06712,12.69991,0.0,1.777655,0.0,0.0,0.0,0.0,3.0,6.0,0.0,0.0,1.0,0.0003464,0.0001732,4.545963e-06,76.19948,3.9323,1.726,1,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0
0.0924,2.303214,17.32004,0.0,-3.915806,0.0,0.0,0.0,0.0,2.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,554.2413,-3.8292,-3.9216,1,0.0,0.0,0.0,0.0
0.0,8.001218,10.92148,0.0,2.661154,0.0,0.0,1.0,0.0,2.0,8.0,0.0,0.0,1.0,0.0792005,0.03960025,0.0009064765,87.37182,0.0,0.0,1,0.5089223,-14.41805,-1.952116,-6.344069
0.0,9.01599,10.26627,0.0,2.769167,0.0,0.0,1.0,0.0,2.0,8.0,0.0,0.0,1.0,0.0520222,0.0260111,0.0006334115,82.13018,0.0,0.0,1,0.5651257,-15.96894,-1.978487,-6.337905
0.0,3.520504,20.65319,0.0,0.956827,0.0,1.0,1.0,0.0,2.0,20.0,12.0,1.0,0.0,3.999658,0.9999144,0.009682906,413.0638,0.0,0.0,1,0.05271234,-4.384831,-1.02126,-4.288231
0.2098,5.896364,15.15523,0.0,-0.3780429,0.0,1.0,0.0,0.0,2.0,8.0,6.0,1.0,1.0,6.000196,3.000098,0.04948949,121.2418,-0.3124,-0.5222,1,0.4580893,-14.98628,-2.03443,-6.414768
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0
0.1889,5.701387,15.50395,0.0,-0.4464417,0.0,1.0,0.0,0.0,2.0,8.0,6.0,1.0,1.0,6.000821,3.000411,0.04838138,124.0316,-0.3786,-0.5675,1,0.4540093,-14.71219,-2.021369,-6.407879
1.154,1.994951,19.21203,0.0,-2.480211,0.0,0.0,0.0,0.0,2.0,18.0,0.0,0.0,1.0,0.0008895,0.00044475,2.572174e-06,345.8165,-1.3524,-2.5064,1,0.4942442,-9.231554,-1.720435,-7.442725
0.0,2.454863,12.6796,0.0,0.3080194,0.0,1.0,1.0,0.0,2.0,8.0,6.0,1.0,1.0,6.003905,3.001953,0.05918861,101.4368,0.0,0.0,1,0.6237565,-6.23455,-1.583959,-5.7193
0.0,2.122017,13.06049,0.0,0.4493281,0.0,1.0,1.0,0.0,4.0,12.0,6.0,9.0,1.0,4.005022,4.005022,0.02555432,156.7258,0.0,0.0,1,0.8458659,-5.263337,-0.6790471,-5.142587
0.0,2.118937,13.07947,0.0,0.3822409,0.0,1.0,1.0,0.0,4.0,12.0,6.0,3.0,0.0,3.999245,3.999245,0.02548042,156.9537,0.0,0.0,1,0.8472035,-5.262,-0.6777095,-5.14125
0.0,3.212277,22.85743,0.0,-1.188552,0.0,1.0,1.0,0.0,3.0,5.0,3.0,1.0,1.0,3.0,3.0,0.02624968,114.2871,0.0,0.0,1,0.4570931,-4.862161,-1.35621,-4.449961
0.0,4.765658,10.02423,0.0,3.203458,0.0,1.0,1.0,0.0,3.0,5.0,3.0,1.0,1.0,2.001019,2.001019,0.03992364,50.12117,0.0,0.0,1,0.4157053,-6.881439,-2.226478,-6.469239
0.0,5.60023,19.34643,0.0,1.49232,0.0,1.0,1.0,0.0,3.0,5.0,3.0,2.0,0.0,0.9999795,0.9999795,0.01033761,96.73216,0.0,0.0,1,0.1908281,-7.202809,-2.888561,-6.790609
1.3617,2.178139,14.89162,0.0,-1.875367,0.0,1.0,0.0,0.0,4.0,18.0,8.0,2.0,1.0,4.004937,2.002468,0.01494106,268.0491,-0.6532,-2.0149,1,0.1718832,-6.10567,-2.178124,-5.880114
0.5808,1.84912,19.55351,0.0,-0.9548535,0.0,1.0,0.0,0.0,2.0,4.0,3.0,2.0,1.0,1.000019,1.000019,0.01278568,78.21404,-0.2652,-0.846,1,0.0813923,-4.648642,-0.6516015,-4.648642
0.0,7.428173,9.830194,0.0,3.078575,0.0,1.0,1.0,0.0,3.0,5.0,4.0,2.0,1.0,1.997363,1.997363,0.04063731,49.15097,0.0,0.0,1,0.437087,-6.514619,-2.24194,-6.102419
0.0,6.015027,12.23952,0.0,0.7303802,0.0,1.0,1.0,0.0,3.0,20.0,11.0,7.0,1.0,9.995394,9.995394,0.04083246,244.7904,0.0,0.0,1,0.0,0.0,0.0,0.0
3.1825,1.840473,10.82854,0.0,-2.685122,0.0,0.0,0.0,0.0,3.0,12.0,0.0,0.0,0.0,3.45e-05,8.625e-06,2.65502e-07,129.9425,0.4437,-2.7388,1,0.3788572,-4.190406,-0.77077,-3.807406
1.4456,2.117094,20.15647,0.0,-4.11251,0.0,1.0,0.0,1.0,2.0,6.0,4.0,1.0,1.0,1.999999,0.9999997,0.01653728,120.9388,-2.7931,-4.2387,1,0.0,-6.050873,-1.962349,-6.050873
2.1576,5.310802,10.15223,0.0,2.773301,0.0,0.0,0.0,0.0,2.0,12.0,0.0,0.0,0.0,0.0002606,6.515e-05,2.139103e-06,121.8268,4.8174,2.6598,1,0.1350644,-7.9072,-0.9632323,-4.466999
0.0,5.78389,18.92357,0.0,1.402978,0.0,1.0,1.0,0.0,3.0,5.0,4.0,2.0,1.0,0.9999457,0.9999457,0.01056826,94.61784,0.0,0.0,1,0.1785234,-7.238127,-2.929345,-6.825927
0.0,6.939251,11.74196,0.0,1.721448,0.0,1.0,1.0,0.0,3.0,5.0,3.0,1.0,1.0,1.998844,1.998844,0.03404618,58.70979,0.0,0.0,1,0.0,0.0,0.0,0.0
0.32625000000000004,1.2904966500000001,47.70483,0.0,-1.24081496,0.5,1.0,0.0,0.0,2.0,6.0,4.0,1.0,0.0,1.999851,0.9999255499999999,0.010930414500000001,286.229,-0.9925999999999999,-1.31885,1,0.119382455,-4.536575,-0.8579426,-5.6173445
0.0,6.543675,10.41945,0.0,2.959041,0.0,1.0,1.0,0.0,3.0,5.0,3.0,1.0,1.0,1.999614,1.999614,0.03838235,52.09723,0.0,0.0,1,0.3081786,-6.584905,-2.288045,-6.172705
2.8495,4.731104,13.99474,0.0,2.59637,0.0,0.0,0.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,41.98422,5.3017,2.4522,1,0.0,-11.12151,-2.099193,-11.12151
2.3903,3.927719,16.81603,0.0,0.5774347,0.0,0.0,0.0,1.0,3.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,201.7923,2.8987,0.5084,1,0.0,-6.064865,-1.676447,-11.01008
0.0,3.591681,20.26389,0.0,-0.1993361,0.0,1.0,1.0,0.0,3.0,8.0,4.0,1.0,1.0,2.001965,1.000982,0.01234933,162.1111,0.0,0.0,1,0.2501594,-3.889414,-0.2404133,-3.808914
5.1112,4.365695,11.72262,0.0,2.092516,0.0,0.0,0.0,0.0,3.0,12.0,0.0,0.0,1.0,2.27e-05,1.135e-05,1.61369e-07,140.6714,7.1124,2.0012,1,0.5539954,-4.31055,-0.5375293,-3.85255
0.8151,2.801996,21.10686,0.0,-4.308636,1.0,1.0,0.0,0.0,2.0,8.0,6.0,2.0,1.0,3.998561,1.99928,0.02368045,168.8549,-3.5275,-4.3426,1,0.1450492,-3.349235,-1.670492,-3.002735
0.3263,3.634817,13.08205,0.0,0.1748734,0.0,0.0,0.0,0.0,3.0,8.0,0.0,0.0,1.0,4.4e-06,2.2e-06,4.204233e-08,104.6564,0.6644,0.3381,1,0.06287318,-7.287535,-0.814597,-4.657586
0.6496,2.049412,17.64252,0.0,-0.4710115,1.0,1.0,0.0,0.0,2.0,16.0,12.0,2.0,0.0,3.999954,0.9999884,0.01417015,282.2803,0.1023,-0.5473,1,0.08516529,-4.644869,-0.6478285,-4.644869
3.04,3.927425,15.018,0.0,0.4212947,0.0,0.0,0.0,0.0,3.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,180.216,3.3938,0.3538,1,0.01380451,-6.326873,-1.753611,-11.11418
2.2352,5.534179,16.93549,0.0,2.228345,1.0,0.0,0.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,50.80647,4.4204,2.1852,1,0.0,-6.108492,-2.167324,-14.84698
0.0,3.314932,15.98995,0.0,-0.2394277,0.0,0.0,1.0,0.0,3.0,72.0,0.0,0.0,0.0,0.2112983,0.02641229,0.0001835339,1151.276,0.0,0.0,1,0.5703671,-6.462297,-2.115218,-6.004297
2.3973,3.103215,15.08083,0.0,0.5527491,0.0,0.0,0.0,1.0,3.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,180.9699,2.8578,0.4605,1,0.0,-6.109075,-1.682948,-9.042264
0.8986,2.880356,19.23594,0.0,-0.2413423,1.0,1.0,0.0,0.0,2.0,16.0,12.0,3.0,0.0,3.999326,0.9998314,0.01299431,307.7751,0.4921,-0.4065,1,0.08383552,-4.60254,-0.6432083,-4.60254
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0
0.6429,1.7197594999999999,15.794975,0.0,-0.1730855,0.0,1.0,0.5,0.0,1.0,5.0,2.0,1.0,0.0,2.0,2.0,0.0551436,71.95636999999999,-1.3441,-2.6299,1,0.005234995,-5.955416,0.005234995,-5.955416
1.3523,1.536784,17.28781,0.0,-2.743994,0.0,1.0,0.0,1.0,1.0,2.0,2.0,1.0,0.0,2.0,2.0,0.05784423,34.57562,-1.3917,-2.744,1,0.0,-5.960651,0.0,-5.960651
3.734,3.321848,9.381792,0.0,3.298903,0.0,0.0,0.0,0.0,2.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,112.5815,7.0076,3.2736,1,0.09430626,-7.268724,-1.905189,-7.268724
0.0,7.454446,13.19686,0.0,1.376192,0.0,1.0,1.0,0.0,3.0,64.0,21.0,38.0,1.0,9.994202,1.249275,0.01183307,844.5993,0.0,0.0,1,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0
2.9856,4.6716,16.74623,0.0,0.4785309,0.0,0.0,0.0,0.0,3.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,200.9547,3.3792,0.3936,1,0.001610885,-6.282231,-1.746678,-13.08131
2.2941,5.000166,18.74418,0.0,2.294068,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,5e-07,5e-07,8.891647e-09,56.23255,4.5086,2.2145,1,0.1200149,-5.988477,-2.047309,-5.678477
0.5132,1.819295,19.43053,0.0,-0.8650801,1.0,1.0,0.0,0.0,3.0,20.0,12.0,12.0,1.0,12.0,3.0,0.03087923,388.6107,-0.4039,-0.9171,1,0.5105026,-5.824572,-0.3048579,-4.113598
1.7361,2.692973,12.02074,0.0,1.833155,0.0,0.0,0.0,1.0,2.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,144.2489,3.4638,1.7277,1,0.0,-6.003922,-1.241507,-6.003922
3.1624,9.117022,12.44832,0.0,1.91103,0.0,0.0,0.0,0.0,2.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,74.68994,4.9936,1.8312,1,0.0,0.0,0.0,0.0
0.0,7.982748,9.564832,0.0,3.03943,0.0,1.0,1.0,0.0,3.0,5.0,3.0,1.0,1.0,2.000117,2.000117,0.04182231,47.82416,0.0,0.0,1,0.537358,-6.447262,-2.189781,-6.035062
0.0,3.378754,19.24357,0.0,0.4086008,0.0,1.0,1.0,1.0,2.0,3.0,2.0,1.0,0.0,0.9999999,0.9999999,0.0173218,57.73071,0.0,0.0,1,0.0,-4.597746,-0.9693918,-9.54223
0.0,7.932252,12.0389,0.0,-2.116834,0.0,1.0,1.0,0.0,2.0,16.0,12.0,2.0,0.0,4.007905,1.001976,0.02080705,192.6224,0.0,0.0,1,0.0,0.0,0.0,0.0
2.7345,3.312892,12.04248,0.0,2.828569,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,36.12745,5.5289,2.7944,1,0.05187944,-8.421392,-2.101527,-8.421392
2.8311,5.128646,19.09367,0.0,1.174362,0.0,0.0,0.0,0.0,3.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,229.124,3.9334,1.1023,1,0.005432481,-6.261628,-1.746526,-15.88162
1.2535,6.075568,13.15642,0.0,1.974274,0.0,0.0,0.0,0.0,2.0,12.0,0.0,0.0,0.0,0.0006841,0.000171025,4.33312e-06,157.877,3.1735,1.92,1,0.05581009,-11.45264,-0.7772131,-4.149844
0.0,7.392043,12.79702,0.0,1.581101,0.0,1.0,1.0,0.0,3.0,43.0,6.0,37.0,1.0,2.518103,2.518103,0.004576108,550.2718,0.0,0.0,1,0.0,0.0,0.0,0.0
1.6288,1.435252,18.51078,0.0,-2.025801,1.0,1.0,0.0,0.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,0.05402257,37.02156,-2.0257,-3.6545,1,0.0,0.0,0.0,0.0
2.4144,3.89576,18.00688,0.0,0.6799677,0.0,0.0,0.0,0.0,3.0,30.0,0.0,0.0,0.0,0.0001742,8.71e-05,3.224693e-07,540.2065,2.9984,0.584,1,0.3642213,-6.405697,-1.20812,-5.860697
2.0834,2.549148,17.94558,0.0,0.9372041,0.0,0.0,0.0,0.0,2.0,12.0,0.0,0.0,1.0,0.0,0.0,0.0,215.347,2.9852,0.9018,1,0.02578521,-4.298839,-1.257022,-7.165962
0.0,7.855611,12.96217,0.0,2.011069,0.0,1.0,1.0,0.0,2.0,6.0,6.0,3.0,0.0,9.943423,4.971712,0.1278518,77.77305,0.0,0.0,1,0.3794566,-9.220249,-2.489369,-8.762249
