band_gap,density,density_atomic,deprecated,efermi,energy_above_hull,energy_per_atom,formation_energy_per_atom,homogeneous_poisson,is_gap_direct,is_magnetic,is_metal,is_stable,nelements,nsites,num_magnetic_sites,num_unique_magnetic_sites,theoretical,total_magnetization,total_magnetization_normalized_formula_units,total_magnetization_normalized_vol,uncorrected_energy_per_atom,universal_anisotropy,volume,target
3.2687,3.421648,9.945875,0.0,8.036715,0.1152902,-9.494806,-1.564382,0.251,1.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,1.0,0.001155,0.0005775,2.903214e-05,-7.329642,0.915,39.7835,1
0.0,2.780137,16.11572,0.0,7.849192,0.1034003,-6.628698,0.1034003,0.221,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.628698,-5.032,16.11572,1
0.0,13.46205,15.25369,0.0,5.935371,0.0,-34.55168,-1.407824,0.199,0.0,0.0,1.0,1.0,2.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,-34.55168,-3.214,91.52213,1
0.0,3.097637,8.526578,0.0,9.220141,0.0,-7.221912,-0.06909048,0.256,0.0,0.0,1.0,1.0,2.0,73.0,0.0,0.0,1.0,4e-07,4e-07,6.42632e-10,-7.221912,8.732,622.4402,1
0.0,3.192131,8.427815,0.0,9.750313,0.01683494,-7.192015,-0.05041312,0.197,0.0,0.0,1.0,0.0,2.0,3.0,0.0,0.0,0.0,1e-07,1e-07,3.955157e-09,-7.192015,2.22,25.28344,1
1.0259,12.97489,10.81433,0.0,6.829726,0.06918368,-26.4718,-1.904763,0.0,1.0,0.0,0.0,0.0,2.0,14.0,0.0,0.0,0.0,9.23e-05,4.615e-05,6.096406e-07,-10.62586,0.0,151.4007,1
0.0,13.72993,26.06448,0.0,10.16557,0.1633228,-66.25895,0.1633228,0.0,0.0,0.0,1.0,0.0,2.0,4.0,0.0,0.0,1.0,0.0030202,0.0030202,2.896854e-05,-8.091635,0.0,104.2579,1
0.0,2.142907,21.76346,0.0,5.231188,0.4151193,-8.358645,0.4151193,0.318,0.0,0.0,1.0,0.0,1.0,8.0,0.0,0.0,1.0,0.0010976,0.0001372,6.304145e-06,-5.010199,11.527,174.1077,1
0.6927,12.13049,12.13948,0.0,9.786722,0.0,-34.37613,-1.642954,0.338,0.0,0.0,0.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,-34.37613,1.664,36.41844,1
1.0917,11.60086,12.0952,0.0,5.995653,0.07350542,-26.46748,-1.900441,0.359,0.0,0.0,0.0,0.0,2.0,7.0,0.0,0.0,1.0,1.33e-05,1.33e-05,1.570871e-07,-10.62154,9.204,84.66642,1
0.2957,9.868236,16.02788,0.0,3.712349,0.641422,-9.89038,-0.2974531,0.411,1.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,0.000137,0.000137,4.273802e-06,-9.89038,3.907,32.05577,1
0.0,11.13374,13.02781,0.0,8.623606,0.6474366,-9.379922,0.5363254,0.282,0.0,0.0,1.0,0.0,2.0,3.0,0.0,0.0,1.0,0.0019984,0.0019984,5.113166e-05,-9.379922,0.925,39.08342,1
7.5517,0.04184964,39.99374,0.0,-6.591373,2.330944,-1.124168,2.330944,0.361,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,2.0,0.02500391,-1.124168,1.099,39.99374,1
0.0,2.520649,15.36316,0.0,6.419357,1.762105,-4.287906,-0.1401006,1.49,0.0,0.0,1.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0033274,0.0033274,7.219433e-05,-4.058906,0.224,46.08949,1
0.0,13.42905,18.71874,0.0,8.764461,0.0,-43.8822,-0.3980077,0.376,0.0,0.0,1.0,1.0,3.0,4.0,0.0,0.0,1.0,4.4e-05,4.4e-05,5.876463e-07,-43.8822,1.757,74.87497,1
0.5334,2.006071,23.24797,0.0,4.123417,0.3931931,-8.380572,0.3931931,0.248,0.0,0.0,0.0,0.0,1.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.380572,0.069,790.4309,1
0.0,11.57115,13.7005,0.0,9.796786,0.0,-36.61903,-1.739993,0.0,0.0,1.0,1.0,1.0,2.0,44.0,16.0,16.0,1.0,11.99999,2.999999,0.01990637,-36.61903,0.0,602.8219,1
0.0,15.68431,24.46037,0.0,13.15043,0.0,-76.85602,0.0,0.443,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.51e-05,1.51e-05,6.173251e-07,-76.85602,-13.534,24.46037,1
0.0,4.71489,8.891687,0.0,4.966705,0.0,-4.294833,-0.3153419,0.145,0.0,0.0,1.0,1.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.761055,0.014,53.35012,1
1.6183,9.265667,22.21143,0.0,6.329193,0.0,-40.23301,-2.107964,0.291,1.0,0.0,0.0,1.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,-40.23301,2.794,111.0572,1
0.0,6.102812,17.04538,0.0,-0.734822,0.4129534,-19.9027,-2.523285,0.0,0.0,1.0,1.0,0.0,3.0,25.0,18.0,7.0,1.0,9.999324,9.999324,0.02346518,-8.243188,0.0,426.1345,1
4.5867,2.629421,24.93485,0.0,-1.617795,0.4550306,-5.358988,0.3288183,0.0,0.0,0.0,0.0,0.0,3.0,24.0,0.0,0.0,0.0,0.0032359,0.0005393167,5.407258e-06,-5.358988,0.0,598.4364,1
0.0,11.99906,13.18161,0.0,5.428519,0.7634334,-9.768369,-0.1754417,0.0,0.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0,1.0,1.42e-05,1.42e-05,5.386291e-07,-9.768369,0.0,26.36322,1
0.6105,2.3128,20.16476,0.0,5.630198,0.0,-8.773765,0.0,0.215,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.773765,0.227,40.32953,1
0.0,8.116291,21.06705,0.0,4.728065,0.0,-25.35908,-1.818098,0.198,0.0,0.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,1.2e-06,1.2e-06,2.848049e-08,-25.35908,0.431,42.13411,1
0.9014,1.892098,18.7074,0.0,4.273049,0.03194668,-7.414723,0.02937874,0.0,0.0,0.0,0.0,0.0,2.0,8.0,0.0,0.0,1.0,0.0,0.0,0.0,-7.414723,0.0,149.6592,1
0.0,13.26852,26.38973,0.0,10.25439,0.2298107,-64.84543,0.2298107,0.0,0.0,0.0,1.0,0.0,2.0,4.0,0.0,0.0,1.0,0.0026955,0.0026955,2.55355e-05,-8.085834,0.0,105.5589,1
0.0,19.77543,19.98724,0.0,14.15188,0.3715774,-79.57046,0.3715774,0.277,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.04053,1.04053,0.05205971,-10.91983,-4.92,19.98724,1
0.0,5.328861,20.79631,0.0,1.668494,2.228488,-5.117678,-0.897456,0.0,0.0,1.0,1.0,0.0,4.0,10.0,7.0,2.0,0.0,1.159969,1.159969,0.005577763,-4.705478,0.0,207.9631,1
0.0,3.958942,8.595859,0.0,4.737736,0.01052377,-5.273954,-0.1788902,0.0,0.0,1.0,1.0,0.0,2.0,4.0,1.0,1.0,1.0,1.3649,1.3649,0.03969644,-7.065328,0.0,34.38343,1
0.0,13.7178,15.19218,0.0,13.15291,0.0,-47.70504,-1.628558,0.262,0.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,0.0,3.579965,3.579965,0.1178227,-47.70504,0.479,30.38435,1
0.0,9.523282,20.3511,0.0,10.4759,0.0,-39.42955,-1.347214,0.0,0.0,1.0,1.0,1.0,2.0,14.0,6.0,1.0,0.0,2.019665,1.009832,0.007088647,-39.42955,0.0,284.9154,1
0.0,2.371398,8.715089,0.0,5.545698,0.4114628,-6.166596,0.3173322,0.0,0.0,0.0,1.0,0.0,2.0,13.0,0.0,0.0,0.0,0.001378,0.001378,1.216281e-05,-6.127903,0.0,113.2962,1
0.0,21.12139,14.89039,0.0,9.52817,0.0,-52.17512,-0.7576419,0.231,0.0,0.0,1.0,1.0,2.0,4.0,0.0,0.0,0.0,2.8e-06,2.8e-06,4.70102e-08,-52.17512,0.232,59.56155,1
0.0,20.11372,19.65108,0.0,15.18229,0.0,-79.94204,0.0,0.194,0.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,-79.94204,0.651,39.30215,1
0.0,2.22609,28.10399,0.0,-0.7355083,0.3935923,-5.517303,-0.011366,0.0,0.0,1.0,1.0,0.0,5.0,82.0,32.0,2.0,0.0,21.80037,10.90018,0.009459802,-5.250572,0.0,2304.527,1
0.0,9.742209,11.92895,0.0,4.863958,0.9712794,-9.673346,-0.7231873,0.355,0.0,1.0,1.0,0.0,3.0,6.0,1.0,1.0,1.0,1.573691,1.573691,0.02198701,-9.378346,3.221,71.57367,1
0.0,12.71334,12.44103,0.0,6.376273,0.0,-10.5318,-0.9388752,0.203,0.0,0.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,2e-06,2e-06,8.037923e-08,-28.67222,0.033,24.88205,1
0.0,2.567389,10.0908,0.0,7.384461,0.0,-4.773859,-0.05239917,0.139,0.0,0.0,1.0,1.0,3.0,3.0,0.0,0.0,0.0,4e-07,4e-07,1.321335e-08,-6.233663,0.223,30.27241,1
0.0,16.66235,23.17321,0.0,14.19997,0.2989281,-78.09914,0.2989281,0.0,0.0,0.0,1.0,0.0,2.0,4.0,0.0,0.0,1.0,0.0964307,0.0964307,0.001040325,-10.07402,0.0,92.69284,1
0.8982,1.903816,18.59225,0.0,4.244392,0.03147249,-7.415197,0.02890454,0.0,0.0,0.0,0.0,0.0,2.0,8.0,0.0,0.0,1.0,0.0,0.0,0.0,-7.415197,0.0,148.738,1
0.0,20.55878,19.22567,0.0,14.57355,0.08967122,-79.85237,0.08967122,0.0,0.0,0.0,1.0,0.0,1.0,30.0,0.0,0.0,0.0,0.0001034,3.446667e-06,1.792742e-07,-11.20174,0.0,576.7701,1
