band_gap,density,density_atomic,deprecated,efermi,energy_above_hull,energy_per_atom,formation_energy_per_atom,is_gap_direct,is_magnetic,is_metal,is_stable,nelements,nsites,num_magnetic_sites,num_unique_magnetic_sites,theoretical,total_magnetization,total_magnetization_normalized_formula_units,total_magnetization_normalized_vol,uncorrected_energy_per_atom,volume,cbm,vbm,target
3.1115,2.038258,16.61327,0.0,0.2609878,0.1948427,-7.698715,-3.229127,1.0,0.0,0.0,0.0,2.0,30.0,0.0,0.0,1.0,0.1720053,0.02866755,0.0003451162,-7.286515,498.3982,3.338,0.2265,1
0.8055,5.222226,13.683,0.0,-2.15172,0.0,-5.678266,-2.001548,0.0,1.0,0.0,1.0,3.0,28.0,4.0,2.0,0.0,4.0,1.0,0.01044049,-12.30395,383.124,-1.4807,-2.2862,1
3.2472,4.888101499999999,17.454375,0.0,-2.966434,0.0,-7.731572,-1.524288,0.0,0.0,0.0,0.5,2.0,7.5,0.0,0.0,0.0,0.0001564,0.0001564,1.626215e-06,-7.181972,126.456615,0.055,-3.1922,1
1.913,5.707278,13.39466,0.0,-2.416842,0.0,-6.694846,-1.710327,0.0,0.0,0.0,1.0,3.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,-14.10012,321.4719,-0.3843,-2.2973,1
0.0,4.414446,34.88594,0.0,2.139976,1.861269,-19.79912,1.015426,0.0,0.0,1.0,0.0,3.0,5.0,0.0,0.0,1.0,0.0062381,0.0062381,3.576283e-05,-4.137035,174.4297,0.0,0.0,1
0.7823,5.166949,13.82938,0.0,-2.286542,0.0008424496,-5.677424,-2.000706,1.0,1.0,0.0,0.0,3.0,28.0,4.0,1.0,0.0,4.0,1.0,0.01032997,-12.30311,387.2227,-1.6044,-2.3867,1
4.3683,2.246711,9.171352,0.0,2.256325,0.0,-9.650531,-1.412979,0.0,0.0,0.0,1.0,2.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,-9.650531,36.68541,6.558,2.1897,1
4.3887,2.253268,9.144664,0.0,1.712512,5.28025e-05,-9.650479,-1.412926,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,-9.650479,18.28933,5.9496,1.5609,1
2.43315,2.1750695,11.79814,0.0,3.004105285,0.34456736499999996,-6.782121,-2.282543,0.0,0.5,0.5,0.0,4.0,34.0,3.0,6.5,0.0,2.02262165,1.011311075,0.0044707357500000005,-6.4184155,401.13685,6.0692,1.2029,1
0.0,4.416513,11.54604,0.0,2.919923,0.4340996,-10.30243,-2.159552,0.0,0.0,1.0,0.0,4.0,20.0,0.0,0.0,0.0,0.0072031,0.0072031,3.119295e-05,-7.16836,230.9208,0.0,0.0,1
3.9745,2.21815,9.289444,0.0,1.591382,0.001745425,-9.648786,-1.411234,0.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,-9.648786,37.15778,5.566,1.5915,1
0.6823,2.715293,12.47089,0.0,5.404291,0.7999646,-7.093593,-2.624005,0.0,0.0,0.0,0.0,2.0,10.0,0.0,0.0,1.0,1.2e-06,6e-07,9.622405e-09,-6.814593,124.7089,6.0748,5.3925,1
0.0,4.626233,34.00697,0.0,2.041524,1.848389,-19.81036,1.012616,0.0,0.0,1.0,0.0,3.0,5.0,0.0,0.0,0.0,0.0067213,0.0067213,3.952895e-05,-4.12775,170.0349,0.0,0.0,1
