band_gap,density,density_atomic,deprecated,efermi,is_gap_direct,is_magnetic,is_metal,is_stable,nelements,nsites,num_magnetic_sites,num_unique_magnetic_sites,theoretical,total_magnetization,total_magnetization_normalized_formula_units,total_magnetization_normalized_vol,volume,target,energy_above_hull,energy_per_atom,formation_energy_per_atom,uncorrected_energy_per_atom
0.0,1.995227,16.6685,0.0,1.823599,0.0,0.0,1.0,0.0,2.0,24.0,0.0,0.0,1.0,1.152355,0.1440443,0.00288057,400.0439,1,1.246502,-8.697671,-1.799316,-6.669762
0.0,2.122017,13.06049,0.0,0.4493281,0.0,1.0,1.0,0.0,4.0,12.0,6.0,9.0,1.0,4.005022,4.005022,0.02555432,156.7258,1,0.8458659,-5.263337,-0.6790471,-5.142587
0.0,2.118937,13.07947,0.0,0.3822409,0.0,1.0,1.0,0.0,4.0,12.0,6.0,3.0,0.0,3.999245,3.999245,0.02548042,156.9537,1,0.8472035,-5.262,-0.6777095,-5.14125
1.6966,1.931695,22.88496,0.0,-2.45675,0.0,0.0,0.0,0.0,2.0,12.0,0.0,0.0,1.0,0.0005057,0.000126425,1.841457e-06,274.6196,1,0.5260148,-11.08236,-2.796005,-8.448095
0.0,5.328861,20.79631,0.0,1.668494,0.0,1.0,1.0,0.0,4.0,10.0,7.0,2.0,0.0,1.159969,1.159969,0.005577763,207.9631,1,2.228488,-5.117678,-0.897456,-4.705478
0.0,8.001218,10.92148,0.0,2.661154,0.0,0.0,1.0,0.0,2.0,8.0,0.0,0.0,1.0,0.0792005,0.03960025,0.0009064765,87.37182,1,0.5089223,-14.41805,-1.952116,-6.344069
0.0,2.956884,25.20653,0.0,-1.516749,0.0,1.0,1.0,0.0,3.0,5.0,3.0,1.0,1.0,3.0,3.0,0.02380336,126.0327,1,0.5736075,-4.821337,-1.23991,-4.409137
0.0,3.040508,13.15207,0.0,-3.152296,0.0,1.0,1.0,0.0,3.0,24.0,2.0,1.0,0.0,2.073808,1.036904,0.006569969,315.6497,1,0.06123627,-4.715245,-0.6955964,-4.715245
0.0,2.08406,15.95801,0.0,2.264242,0.0,0.0,1.0,0.0,2.0,18.0,0.0,0.0,1.0,0.3341708,0.05569513,0.001163369,287.2441,1,1.256362,-8.687811,-1.789456,-6.659902
0.0,9.01599,10.26627,0.0,2.769167,0.0,0.0,1.0,0.0,2.0,8.0,0.0,0.0,1.0,0.0520222,0.0260111,0.0006334115,82.13018,1,0.5651257,-15.96894,-1.978487,-6.337905
1.0636,2.086035,15.9429,0.0,0.6525216,0.0,0.0,0.0,0.0,2.0,144.0,0.0,0.0,1.0,0.0126978,0.0002645375,5.530937e-06,2295.777,1,0.7057752,-9.238398,-2.340043,-7.210489
0.1782,2.130136,10.70691,0.0,1.066227,0.0,1.0,0.0,0.0,2.0,4.0,3.0,2.0,1.0,1.000486,1.000486,0.02336075,42.82763,1,0.2390324,-4.81306,-0.6216315,-4.81306
1.4363,7.153648,12.93894,0.0,2.320989,1.0,0.0,0.0,0.0,2.0,16.0,0.0,0.0,0.0,0.0003816,9.54e-05,1.843273e-06,207.023,1,0.6441062,-15.88996,-1.899507,-6.653424
0.0,3.086431,12.95638,0.0,-3.111595,0.0,0.0,1.0,0.0,3.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,310.9531,1,0.0,0.0,0.0,0.0
0.0,5.561951,14.34849,0.0,1.759552,0.0,1.0,1.0,0.0,2.0,8.0,5.0,6.0,1.0,2.009397,1.004699,0.0175053,114.7879,1,0.3356474,-13.83577,-2.010783,-6.816036
0.0,4.405798,17.0993,0.0,2.046312,0.0,0.0,1.0,0.0,3.0,5.0,0.0,0.0,0.0,0.0278837,0.0278837,0.0003261385,85.4965,1,2.517241,-12.25898,-1.103502,-5.74902
0.0,3.853398,20.09783,0.0,0.967425,0.0,0.0,1.0,0.0,3.0,5.0,0.0,0.0,1.0,0.3616125,0.3616125,0.003598522,100.4892,1,3.077492,-5.346456,-0.4122043,-4.934256
0.0,3.607711,24.92784,0.0,-1.276718,0.0,1.0,1.0,0.0,3.0,5.0,3.0,1.0,1.0,3.0,3.0,0.02406947,124.6392,1,0.5158273,-4.828164,-1.276904,-4.415964
1.3132,2.138146,15.55434,0.0,0.7376397,1.0,0.0,0.0,0.0,2.0,144.0,0.0,0.0,1.0,0.0051088,0.0001064333,2.280893e-06,2239.825,1,0.7259852,-9.218188,-2.319833,-7.190279
0.0,2.088815,17.50299,0.0,-1.510258,0.0,1.0,1.0,0.0,3.0,5.0,3.0,1.0,1.0,3.999887,3.999887,0.04570518,87.51496,1,0.6109778,-3.959772,-0.4937952,-3.547572
0.0,5.05809,14.82639,0.0,2.898831,0.0,0.0,1.0,0.0,2.0,10.0,0.0,0.0,1.0,0.0001184,5.92e-05,7.985759e-07,148.2639,1,0.4928737,-15.11904,-3.417212,-8.621211
0.0,7.827876,15.37946,0.0,2.692667,0.0,1.0,1.0,0.0,2.0,10.0,4.0,1.0,1.0,27.92519,13.9626,0.1815746,153.7946,1,0.4376472,-24.25217,-3.31698,-11.64479
3.421,2.423854,18.23821,0.0,-1.707631,1.0,0.0,0.0,0.0,2.0,9.0,0.0,0.0,1.0,0.0,0.0,0.0,164.1439,1,0.149662,-11.45871,-3.172357,-11.45871
0.0,2.361598,12.8314,0.0,-2.740534,0.0,1.0,1.0,0.0,2.0,8.0,3.0,8.0,1.0,1.999951,0.9999756,0.01948298,102.6512,1,0.2141495,-3.618754,0.2141495,-2.311428
1.6065,2.39948,13.86027,0.0,2.66197,1.0,0.0,0.0,0.0,2.0,24.0,0.0,0.0,1.0,0.0007593,9.49125e-05,2.282604e-06,332.6465,1,0.5515009,-9.392672,-2.494317,-7.364763
1.3523,1.536784,17.28781,0.0,-2.743994,0.0,1.0,0.0,1.0,1.0,2.0,2.0,1.0,0.0,2.0,2.0,0.05784423,34.57562,1,0.0,-5.960651,0.0,-5.960651
0.2785,3.739294,24.39888,0.0,-0.779229,0.0,0.0,0.0,0.0,3.0,8.0,0.0,0.0,1.0,0.0003819,0.00019095,1.956545e-06,195.1911,1,0.1509791,-3.792937,-0.2178132,-3.712437
5.3228,3.19321,20.13837,0.0,-1.421529,0.0,0.0,0.0,0.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,120.8302,1,0.01625127,-9.89153,-0.7091559,-9.89153
0.0,4.754101,10.07878,0.0,2.129189,0.0,1.0,1.0,0.0,3.0,5.0,3.0,1.0,1.0,1.999727,1.999727,0.03968194,50.39388,1,1.500836,-5.09859,-0.5952467,-4.68639
0.0,2.454863,12.6796,0.0,0.3080194,0.0,1.0,1.0,0.0,2.0,8.0,6.0,1.0,1.0,6.003905,3.001953,0.05918861,101.4368,1,0.6237565,-6.23455,-1.583959,-5.7193
0.0,3.977995,18.29601,0.0,0.8583171,0.0,0.0,1.0,0.0,3.0,8.0,0.0,0.0,1.0,0.0020351,0.00101755,1.390399e-05,146.3681,1,0.229534,-3.910039,-0.2610387,-3.829539
0.6429,1.7197594999999999,15.794975,0.0,-0.1730855,0.0,1.0,0.5,0.0,1.0,5.0,2.0,1.0,0.0,2.0,2.0,0.0551436,71.95636999999999,1,0.005234995,-5.955416,0.005234995,-5.955416
1.154,1.994951,19.21203,0.0,-2.480211,0.0,0.0,0.0,0.0,2.0,18.0,0.0,0.0,1.0,0.0008895,0.00044475,2.572174e-06,345.8165,1,0.4942442,-9.231554,-1.720435,-7.442725
0.17835,4.0013345,19.70017,0.0,1.996076,0.5,0.0,0.5,0.0,3.0,5.0,0.0,0.0,0.0,0.10883715,0.10883715,0.00127357,98.50086,1,1.2604643,-7.1634835,-2.2292325,-6.7512834999999995
0.0,2.250871,15.2639,0.0,-1.357791,0.0,1.0,1.0,0.0,4.0,96.0,80.0,4.0,0.0,78.5105,19.62763,0.05357856,1465.334,1,0.9487343,-4.877399,-0.2087284,-4.304899
0.0,7.126677,16.2505,0.0,2.195962,0.0,0.0,1.0,0.0,2.0,10.0,0.0,0.0,1.0,0.0001632,8.16e-05,1.004277e-06,162.505,1,0.4492388,-18.77869,-3.309131,-7.856725
0.6072,7.713205,9.549249,0.0,6.10177,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,1.0,0.0005869,0.0005869,2.048678e-05,28.64775,1,0.1880587,-13.47036,-1.021745,-7.201711
0.0,2.70207,15.043,0.0,1.673117,0.0,1.0,1.0,0.0,3.0,25.0,7.0,16.0,1.0,3.976946,3.976946,0.01057487,376.0751,1,0.863271,-7.039032,-2.433521,-6.599352
0.0,3.094818,10.74617,0.0,5.434089,0.0,0.0,1.0,0.0,2.0,36.0,0.0,0.0,1.0,0.0052097,0.0004341417,1.346655e-05,386.8622,1,1.739113,-8.20506,-1.306705,-6.177151
0.0,3.191959,9.883457,0.0,-3.658692,0.0,1.0,1.0,0.0,1.0,8.0,8.0,5.0,1.0,8.0,2.0,0.1011792,79.06765,1,0.7766549,-2.347,0.7766549,-2.347
1.1181,1.654882,20.34711,0.0,-2.070996,0.0,0.0,0.0,0.0,2.0,28.0,0.0,0.0,1.0,0.0,0.0,0.0,569.7191,1,0.7327309,-8.254014,-1.424385,-6.454902
0.0,2.872669,9.248777,0.0,1.527715,0.0,1.0,1.0,0.0,3.0,5.0,3.0,1.0,1.0,3.019462,3.019462,0.0652943,46.24389,1,0.4592611,-5.310984,-1.323399,-4.898784
0.0,4.379369,20.83281,0.0,0.2290657,0.0,0.0,1.0,0.0,3.0,8.0,0.0,0.0,1.0,5.1e-06,2.55e-06,3.060076e-08,166.6625,1,0.1464173,-3.797498,-0.222375,-3.716998
0.0,3.222079,10.32173,0.0,6.185404,0.0,0.0,1.0,0.0,2.0,18.0,0.0,0.0,1.0,0.2030565,0.03384275,0.001092929,185.7912,1,1.824697,-8.119476,-1.221121,-6.091567
0.8647,3.140545,23.17478,0.0,-1.072978,0.0,0.0,0.0,0.0,3.0,8.0,0.0,0.0,1.0,0.0008787,0.00043935,4.739528e-06,185.3982,1,0.2363512,-3.903222,-0.2542215,-3.822722
0.0,2.461513,8.628332,0.0,1.110666,0.0,1.0,1.0,0.0,3.0,5.0,3.0,1.0,1.0,3.030292,3.030292,0.07024051,43.14166,1,0.5701235,-5.445053,-1.344028,-5.032853
0.0409,1.951178,16.86435,0.0,0.8368885,0.0,1.0,0.0,0.0,2.0,76.0,10.0,32.0,1.0,12.0,3.0,0.009362636,1281.69,1,0.912456,-8.822058,-1.973056,-7.171251
0.0,8.571467,10.50651,0.0,2.888006,0.0,1.0,1.0,0.0,2.0,4.0,3.0,2.0,1.0,3.000012,3.000012,0.07138462,42.02603,1,0.5641221,-15.20697,-1.956216,-6.308042
0.0615,1.977926,16.65171,0.0,0.05278172,0.0,1.0,0.0,0.0,5.0,37.0,7.0,24.0,1.0,3.000201,3.000201,0.004869562,616.1132,1,0.7592639,-6.234428,-1.744892,-6.129995
0.0,5.709836,13.97686,0.0,1.237749,0.0,1.0,1.0,0.0,2.0,8.0,2.0,4.0,1.0,1.390472,0.695236,0.01243548,111.8149,1,0.4255392,-13.74588,-1.920891,-6.331644
0.0,7.982748,9.564832,0.0,3.03943,0.0,1.0,1.0,0.0,3.0,5.0,3.0,1.0,1.0,2.000117,2.000117,0.04182231,47.82416,1,0.537358,-6.447262,-2.189781,-6.035062
3.0888,2.272942,13.67771,0.0,0.4868177,0.0,0.0,0.0,0.0,2.0,88.0,0.0,0.0,0.0,0.0071743,0.0008967875,5.960512e-06,1203.638,1,0.6803392,-7.206008,-0.6923707,-5.903768
0.0,1.438416,36.76635,0.0,-3.019406,0.0,1.0,1.0,0.0,2.0,3.0,2.0,1.0,0.0,1.000805,1.000805,0.009073563,110.2991,1,1.31694,-6.795734,0.7936318,-3.934832
3.6753,2.356082,14.32301,0.0,-2.237001,0.0,0.0,0.0,0.0,2.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,257.8141,1,0.2470657,-5.756204,0.2470657,-5.756204
3.1683,2.850629,12.49891,0.0,0.7289297,0.0,0.0,0.0,0.0,3.0,32.0,0.0,0.0,1.0,0.0022336,0.0011168,5.584488e-06,399.965,1,0.03530816,-6.9047,-0.568224,-4.795982
2.1051,1.726402,19.06007,0.0,-0.7253921,0.0,1.0,0.0,0.0,2.0,76.0,4.0,5.0,1.0,3.967135,0.9917838,0.002738665,1448.565,1,0.3350903,-9.399424,-2.550421,-7.748617
4.4176,2.035682,13.79377,0.0,-2.832484,0.0,0.0,0.0,0.0,3.0,22.0,0.0,0.0,0.0,0.0023448,0.0011724,7.72681e-06,303.4629,1,0.2310629,-5.569346,-1.498164,-5.317346
0.0,4.139373,16.63035,0.0,0.712034,0.0,1.0,1.0,0.0,3.0,9.0,7.0,3.0,1.0,8.010104,8.010104,0.05351732,149.6731,1,1.537388,-5.311221,-0.598665,-4.565555
3.695,1.949074,17.0632,0.0,-0.3195543,1.0,0.0,0.0,0.0,2.0,18.0,0.0,0.0,1.0,0.0002234,3.723333e-05,7.273614e-07,307.1376,1,0.2333143,-9.710859,-2.812504,-7.68295
1.36,2.383614,13.95253,0.0,1.420531,0.0,0.0,0.0,0.0,2.0,48.0,0.0,0.0,1.0,1.92e-05,1.2e-06,2.866864e-08,669.7213,1,0.5289919,-9.415181,-2.516826,-7.387272
0.0,2.785848,14.09673,0.0,1.506498,0.0,1.0,1.0,0.0,3.0,11.0,4.0,6.0,0.0,2.000006,2.000006,0.01289794,155.064,1,0.3145365,-6.455311,-1.611461,-6.156493
0.0,7.428173,9.830194,0.0,3.078575,0.0,1.0,1.0,0.0,3.0,5.0,4.0,2.0,1.0,1.997363,1.997363,0.04063731,49.15097,1,0.437087,-6.514619,-2.24194,-6.102419
0.0,3.412908,9.447605,0.0,3.14751,0.0,1.0,1.0,0.0,3.0,5.0,3.0,1.0,1.0,2.006943,2.006943,0.04248576,47.23803,1,0.3336114,-6.349246,-2.228885,-5.937046
0.2618,4.830625,22.72362,0.0,-0.1770413,0.0,0.0,0.0,0.0,3.0,8.0,0.0,0.0,1.0,0.0003016,0.0001508,1.659067e-06,181.7889,1,0.1842869,-17.17636,-0.01168114,-3.835683
0.3932,1.627395,19.65393,0.0,-2.191329,0.0,1.0,0.0,0.0,5.0,26.0,9.0,4.0,1.0,8.999614,8.999614,0.0176117,511.0021,1,0.8713829,-5.607576,-0.8183124,-4.977345
0.0,6.799875,13.86339,0.0,0.4644731,0.0,1.0,1.0,0.0,3.0,32.0,4.0,5.0,0.0,4.000931,1.000233,0.009018651,443.6285,1,0.0,0.0,0.0,0.0
0.0,6.295308,12.19077,0.0,6.523206,0.0,0.0,1.0,0.0,2.0,28.0,0.0,0.0,0.0,0.0197477,0.004936925,5.785319e-05,341.3416,1,1.051259,-11.93471,-0.3324397,-4.882534
0.0,3.657233,21.75929,0.0,2.980753,0.0,1.0,1.0,0.0,3.0,12.0,2.0,2.0,1.0,1.057546,0.2643865,0.004050172,261.1114,1,1.038824,-12.07901,-1.395749,-6.113725
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0
1.9628,2.162455,11.93221,0.0,1.010915,0.0,0.0,0.0,0.0,3.0,11.0,0.0,0.0,1.0,1.61e-05,1.61e-05,1.226627e-07,131.2543,1,0.213182,-5.563534,-1.800322,-5.188806
0.0,7.786936,15.60322,0.0,2.529397,0.0,0.0,1.0,0.0,2.0,10.0,0.0,0.0,1.0,0.0001383,6.915e-05,8.863555e-07,156.0322,1,0.4803517,-19.49793,-3.430966,-7.913551
0.0,6.696109,11.9182,0.0,2.994652,0.0,1.0,1.0,0.0,2.0,8.0,3.0,4.0,1.0,2.006393,1.003197,0.02104337,95.34563,1,0.2410721,-13.93035,-2.105358,-6.516111
0.0,5.698965,8.996585,0.0,7.548846,0.0,0.0,1.0,1.0,2.0,4.0,0.0,0.0,0.0,1e-07,5e-08,2.778832e-09,35.98634,0,0.0,-11.61778,-0.8998123,-11.61778
0.0,5.495814,8.463049,0.0,8.126674,0.0,0.0,1.0,1.0,2.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,59.24134,0,0.0,-11.09621,-0.859899,-11.09621
0.0,5.403081,8.255917,0.0,8.452088,0.0,0.0,1.0,1.0,2.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,82.55917,0,0.0,-10.87682,-0.8331723,-10.87682
0.0,5.165601,7.775444,0.0,8.859937,0.0,0.0,1.0,1.0,2.0,3.0,0.0,0.0,0.0,2.8e-06,2.8e-06,1.20036e-07,23.32633,0,0.0,-10.35518,-0.7610839,-10.35518
0.0,9.807658,12.01803,0.0,5.107979,0.0,0.0,1.0,0.0,2.0,6.0,0.0,0.0,0.0,0.003304,0.001652,4.582003e-05,72.1082,0,0.07748121,-22.97186,-2.800819,-9.828953
0.4284,9.831712,11.98863,0.0,5.208667,0.0,0.0,0.0,0.0,2.0,48.0,0.0,0.0,1.0,0.0042136,0.00026335,7.322216e-06,575.4542,0,0.05548198,-22.99386,-2.822819,-9.850952
3.2123,4.2405,24.72014,0.0,-3.100547,0.0,0.0,0.0,0.0,2.0,7.0,0.0,0.0,1.0,0.0001264,0.0001264,7.304629e-07,173.041,0,0.3104429,-20.91444,-2.773451,-9.456609
1.635,6.715813,17.68063,0.0,1.476892,0.0,0.0,0.0,1.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,70.72251,0,0.0,-10.146,-3.608952,-27.76034
0.0,9.997309,15.281,0.0,7.445599,0.0,1.0,1.0,0.0,2.0,6.0,2.0,1.0,1.0,8.0,4.0,0.0872543,91.68603,0,0.1050302,-36.28213,-3.522914,-36.28213
0.0,5.907692,9.806715,0.0,6.980394,0.0,0.0,1.0,1.0,2.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,98.06715,0,0.0,-12.16928,-0.776988,-12.16928
0.0,11.04029,15.33346,0.0,9.828979,0.0,1.0,1.0,0.0,2.0,31.0,12.0,12.0,1.0,21.28478,21.28478,0.04477827,475.3372,0,0.1383543,-10.72182,-3.315697,-10.30076
0.0,9.46033,15.79901,0.0,8.05542,0.0,1.0,1.0,0.0,2.0,6.0,2.0,1.0,1.0,3.963042,1.981521,0.04180686,94.79406,0,0.1258231,-10.68707,-3.621753,-10.22907
0.0,10.97611,14.63508,0.0,9.823643,0.0,1.0,1.0,0.0,2.0,22.0,8.0,2.0,1.0,19.96714,9.983568,0.0620152,321.9717,0,0.06730884,-10.77636,-3.518955,-10.33918
0.0,11.00506,14.97728,0.0,9.747294,0.0,1.0,1.0,0.0,2.0,8.0,3.0,3.0,1.0,6.707084,6.707084,0.05597715,119.8182,0,0.09714134,-10.75453,-3.425082,-10.32515
0.0,5.224899,13.23215,0.0,2.562807,0.0,1.0,1.0,0.0,2.0,6.0,2.0,1.0,1.0,1.119041,0.5595206,0.01409498,79.39289,0,0.2833711,-9.279999,-2.611389,-8.821999
1.041,9.258431,12.81414,0.0,5.301297,0.0,0.0,0.0,1.0,3.0,49.0,0.0,0.0,0.0,1.1e-06,1.1e-06,1.751891e-09,627.8929,0,0.0,-10.15001,-3.204825,-22.86558
0.0,6.555699,13.20499,0.0,4.993591,0.0,0.0,1.0,1.0,3.0,14.0,0.0,0.0,1.0,0.0,0.0,0.0,184.8699,0,0.0,-9.369405,-2.794861,-16.75422
0.3381,6.046941,13.18799,0.0,4.169759,0.0,0.0,0.0,1.0,3.0,92.0,0.0,0.0,1.0,0.0002642,6.605e-05,2.177541e-07,1213.295,0,0.0,-9.472337,-2.860985,-9.054163
0.5208,5.268454,13.31918,0.0,3.753523,0.0,0.0,0.0,1.0,3.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,266.3836,0,0.0,-9.692261,-2.900962,-15.00292
