band_gap,density,density_atomic,deprecated,efermi,is_gap_direct,is_magnetic,is_metal,is_stable,nelements,nsites,num_magnetic_sites,num_unique_magnetic_sites,theoretical,total_magnetization,total_magnetization_normalized_formula_units,total_magnetization_normalized_vol,volume,cbm,vbm,target,energy_above_hull,energy_per_atom,formation_energy_per_atom,uncorrected_energy_per_atom
0.0,3.257908,12.11385,0.0,10.58702,0.0,0.0,1.0,0.0,2.0,8.0,0.0,0.0,1.0,0.0025783,0.00128915,2.660487e-05,96.91083,0.0,0.0,1,0.9233094,-7.508319,0.9085927,-4.828936
0.8982,1.903816,18.59225,0.0,4.244392,0.0,0.0,0.0,0.0,2.0,8.0,0.0,0.0,1.0,0.0,0.0,0.0,148.738,5.0852,4.187,1,0.03147249,-7.415197,0.02890454,-7.415197
0.0922,8.574936,21.28134,0.0,5.987586,1.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0001848,0.0001848,4.341832e-06,42.56267,6.0588,5.9666,1,0.7965305,-4.46341,0.7965305,-4.46341
0.0,2.573426,18.12256,0.0,7.156996,0.0,0.0,1.0,0.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,144.9805,0.0,0.0,1,0.196941,-8.576824,0.196941,-8.576824
0.0,3.194263,15.60124,0.0,8.413883,0.0,0.0,1.0,0.0,2.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,187.2148,0.0,0.0,1,0.01529028,-9.053073,-0.1271004,-9.053073
0.4389,2.317291,20.12569,0.0,5.895782,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,80.50275,6.3138,5.8749,1,0.01360687,-8.760158,0.01360687,-8.760158
0.8866,4.389663,21.77829,0.0,6.697626,0.0,0.0,0.0,0.0,2.0,54.0,0.0,0.0,0.0,0.0093674,0.0046837,7.965289e-06,1176.028,7.5724,6.6858,1,0.01516803,-13.68999,0.01516803,-4.714603
0.4089,3.927855,21.29134,0.0,5.458389,1.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,85.16537,5.7438,5.3349,1,0.03078739,-11.29208,0.03078739,-11.29208
0.0,11.15214,31.11692,0.0,6.0577,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,31.11692,0.0,0.0,1,0.08981022,-3.750679,0.08981022,-3.750679
0.0,5.713651,18.82112,0.0,6.454167,0.0,0.0,1.0,0.0,2.0,4.0,0.0,0.0,1.0,0.0002744,0.0001372,3.644841e-06,75.2845,0.0,0.0,1,0.7711707,-15.2751,0.7711707,-4.573311
0.0,4.839358,17.27615,0.0,5.689463,0.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0016152,0.0016152,4.674654e-05,34.55229,0.0,0.0,1,0.5736602,-10.15768,0.06474404,-4.056885
0.0,6.713955,21.08042,0.0,7.512421,0.0,0.0,1.0,0.0,3.0,4.0,0.0,0.0,1.0,0.0022628,0.0022628,2.683533e-05,84.32167,0.0,0.0,1,1.202774,-17.08111,1.140975,-3.260943
2.1634,1.302741,18.54198,0.0,0.8123729,0.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,74.16791,2.9466,0.7832,1,0.04131178,-6.078263,0.03617589,-6.078263
0.0,2.399124,22.58966,0.0,5.653364,0.0,0.0,1.0,0.0,2.0,48.0,0.0,0.0,1.0,0.0001423,7.115e-05,1.312363e-07,1084.304,0.0,0.0,1,0.1468347,-5.171497,0.1077231,-5.239539
0.0,1.160966,14.71088,0.0,-2.251445,0.0,1.0,1.0,0.0,4.0,42.0,10.0,2.0,0.0,19.99611,9.998053,0.03236365,617.857,0.0,0.0,1,1.590249,-4.596275,0.889883,-4.527513
0.0104,2.514125,20.45767,0.0,6.031218,1.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,81.83068,6.0366,6.0262,1,0.02021456,-8.981862,0.02021456,-8.981862
0.0,4.263958,19.84238,0.0,6.19924,0.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0015721,0.0015721,3.96147e-05,39.68476,0.0,0.0,1,0.6252707,-10.72159,-0.001772031,-4.062219
4.2301,1.073447,14.79117,0.0,-1.496388,1.0,0.0,0.0,0.0,3.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,769.1406,2.6728,-1.5573,1,0.0006522018,-5.141,-0.03181692,-5.141
0.7506,5.974007,18.42476,0.0,7.39876,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0002022,0.0002022,5.487181e-06,36.84952,8.1081,7.3575,1,0.2739728,-16.25236,0.2739728,-5.034224
