band_gap,density,density_atomic,deprecated,efermi,energy_above_hull,energy_per_atom,formation_energy_per_atom,is_gap_direct,is_magnetic,is_metal,is_stable,nelements,nsites,num_magnetic_sites,num_unique_magnetic_sites,theoretical,total_magnetization,total_magnetization_normalized_formula_units,total_magnetization_normalized_vol,uncorrected_energy_per_atom,volume,cbm,vbm,target
0.9011,5.246173,10.5942,0.0,6.287491,0.02248478,-9.105572,-2.087487,0.0,1.0,0.0,0.0,2.0,4.0,2.0,1.0,1.0,1e-07,5e-08,2.359782e-09,-7.912072,42.37679,7.1574,6.2563,1
2.6141,6.868318,18.21563,0.0,2.128697,0.0,-19.70315,-3.290309,0.0,0.0,0.0,1.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,-19.70315,109.2938,4.7269,2.1128,1
3.282,7.514698,10.01472,0.0,3.959271,0.0,-9.312021,-3.408428,0.0,0.0,0.0,1.0,3.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,-16.43179,240.3532,7.0494,3.7674,1
7.1538,2.944956,13.05346,0.0,-1.52073,0.008530122,-8.210095,-4.011714,1.0,0.0,0.0,0.0,3.0,14.0,0.0,0.0,0.0,2e-07,1e-07,1.094401e-09,-8.210095,182.7484,5.5852,-1.5686,1
4.3589,0.7919624,70.12236,0.0,-8.655286,0.1334258,-10.94533,-3.896449,0.0,0.0,0.0,0.0,2.0,5.0,0.0,0.0,1.0,0.0011875,0.0011875,3.386937e-06,-6.738193,350.6118,-4.3488,-8.7077,1
0.0,10.88709,13.37301,0.0,10.66056,0.0,-33.47563,-3.883187,0.0,0.0,1.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0020877,0.0020877,5.203766e-05,-33.47563,40.11902,0.0,0.0,1
4.3218,9.879085,11.76359,0.0,1.790379,0.0,-22.02999,-3.610936,0.0,0.0,0.0,1.0,3.0,12.0,0.0,0.0,0.0,1e-07,5e-08,7.084004e-10,-22.02999,141.1631,5.9221,1.6003,1
2.2516,7.418608,14.30956,0.0,1.328946,0.02015043,-20.89552,-3.292492,0.0,0.0,0.0,0.0,3.0,26.0,0.0,0.0,1.0,0.001587,0.0007935,4.265572e-06,-9.54276,372.0485,3.4379,1.1863,1
3.1299,5.29985,12.86931,0.0,1.837923,0.06265508,-15.28178,-3.724747,0.0,0.0,0.0,0.0,2.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,-15.28178,77.21588,5.0796,1.9497,1
2.0697,9.519392,13.1492,0.0,5.259953,0.0,-28.03028,-4.014343,0.0,1.0,0.0,1.0,3.0,12.0,2.0,1.0,1.0,14.0,7.0,0.08872528,-28.03028,157.7904,7.4237,5.354,1
3.2719,7.911572,12.53547,0.0,1.880375,0.0,-18.67949,-3.816898,0.0,0.0,0.0,1.0,3.0,32.0,0.0,0.0,1.0,0.0,0.0,0.0,-18.67949,401.1351,5.0219,1.75,1
4.0663,6.398753,11.76129,0.0,1.903616,0.01072628,-9.301295,-3.397702,0.0,0.0,0.0,0.0,3.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,-16.42107,141.1354,5.9306,1.8643,1
0.0,2.893223,15.04618,0.0,2.036175,0.002355126,-7.076452,-3.668969,0.0,1.0,1.0,0.0,2.0,8.0,2.0,2.0,0.0,2.0,1.0,0.01661552,-9.178185,120.3694,0.0,0.0,1
3.3874,4.111604,14.87796,0.0,-3.331364,0.0,-5.445146,-2.544417,0.0,0.0,0.0,1.0,3.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,-10.27883,595.1185,0.0274,-3.36,1
4.1383,9.471348,12.30113,0.0,2.287913,0.03929805,-22.8999,-3.875663,0.0,0.0,0.0,0.0,2.0,36.0,0.0,0.0,1.0,0.0,0.0,0.0,-22.8999,442.8407,6.325,2.1867,1
