,KL,KS,KS_p,MW,MW_p
embedding,inf,0.36,0.07789836549197329,304.0,0.8760210484737202
lstm,inf,0.44,0.014838084605848645,357.0,0.3904897837975826
hidden,inf,0.48,0.005614410507946465,384.0,0.16493957468135023
out,0.0,0.0,1.0,312.5,1.0
