,KL,KS,KS_p,MW,MW_p
embedding,inf,0.32,0.15576025200619348,274.0,0.4597796132668023
lstm,inf,0.28,0.2850421476958367,320.0,0.891749007597141
hidden,inf,0.28,0.2850421476958367,340.0,0.5995919908612055
out,0.0,0.0,1.0,312.5,1.0
