,KL,KS,KS_p,MW,MW_p
embedding,0.10868818646687266,0.24,0.4754535018190584,331.0,0.7262626624509877
lstm,inf,0.2,0.7102038997076623,347.0,0.5089494501549718
hidden,inf,0.32,0.15576025200619348,370.0,0.26763711028278137
out,0.0,0.0,1.0,312.5,1.0
