,KL,KS,KS_p,MW,MW_p
embedding,inf,0.36,0.07789836549197329,275.0,0.4717174639583813
lstm,inf,0.2,0.7102038997076623,306.0,0.9071175172484717
hidden,inf,0.24,0.4754535018190584,329.0,0.7557218571083124
out,0.0,0.0,1.0,312.5,1.0
